,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
0,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,Franklin,For profit - Corporation,57,"BURNS NURSING HOME, INC.",N,5.0,5.0,5.0,5.0,4.0,1,655.14,0,1,"701 MONROE STREET NW,RUSSELLVILLE,AL,35653",01/03/2023
1,COOSA VALLEY HEALTHCARE CENTER,SYLACAUGA,AL,35150,Talladega,For profit - Corporation,85,COOSA VALLEY HEALTHCARE CENTER LLC,N,4.0,4.0,4.0,3.0,5.0,1,650.0,0,1,"260 WEST WALNUT STREET,SYLACAUGA,AL,35150",01/03/2023
2,HIGHLANDS HEALTH AND REHAB,SCOTTSBORO,AL,35768,Jackson,Government - County,50,HH HEALTH SYSTEM-JACKSON LLC,N,5.0,4.0,4.0,4.0,4.0,0,0.0,0,0,"380 WOODS COVE ROAD,SCOTTSBORO,AL,35768",01/03/2023
3,EASTVIEW REHABILITATION & HEALTHCARE CENTER,BIRMINGHAM,AL,35206,Jefferson,For profit - Individual,92,BALL HEALTHCARE EASTVIEW INC,N,3.0,4.0,2.0,2.0,,0,0.0,0,0,"7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206",01/03/2023
4,PLANTATION MANOR NURSING HOME,MC CALLA,AL,35111,Jefferson,For profit - Individual,103,"C & G HEALTHCARE SERVICES, INC.",N,2.0,2.0,3.0,3.0,,2,1625.0,0,2,"6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111",01/03/2023
5,ATHENS HEALTH AND REHABILITATION LLC,ATHENS,AL,35611,Limestone,For profit - Corporation,149,ATHENS HEALTH AND REHABILITATION LLC,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"611 WEST MARKET STREET,ATHENS,AL,35611",01/03/2023
6,MERRY WOOD LODGE,ELMORE,AL,36025,Elmore,For profit - Corporation,124,SUNBRIDGE HEALTHCARE LLC,N,2.0,2.0,3.0,2.0,3.0,0,0.0,0,0,"280 MT HEBRON ROAD,ELMORE,AL,36025",01/03/2023
7,HATLEY HEALTH CARE INC,CLANTON,AL,35045,Chilton,For profit - Corporation,201,"HATLEY HEALTH CARE, INC.",N,3.0,3.0,2.0,2.0,,0,0.0,0,0,"300 MEDICAL CENTER DRIVE,CLANTON,AL,35045",01/03/2023
8,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",ATHENS,AL,35611,Limestone,For profit - Corporation,170,LIMESTONE NURSING AND REHABILITATION CENTER LLC,N,1.0,2.0,4.0,3.0,5.0,0,0.0,0,0,"1600 WEST HOBBS STREET,ATHENS,AL,35611",01/03/2023
9,"WETUMPKA HEALTH AND REHABILITATION, LLC",WETUMPKA,AL,36092,Elmore,For profit - Limited Liability company,121,"WETUMPKA HEALTH AND REHABILITATION, LLC",N,2.0,3.0,4.0,4.0,4.0,0,0.0,0,0,"1825 HOLTVILLE ROAD,WETUMPKA,AL,36092",01/03/2023
10,KELLER LANDING,TUSCUMBIA,AL,35674,Colbert,For profit - Corporation,109,SUNBRIDGE HEALTHCARE LLC,N,5.0,5.0,3.0,1.0,4.0,0,0.0,0,0,"813 KELLER LANE,TUSCUMBIA,AL,35674",01/03/2023
11,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,FLORENCE,AL,35631,Lauderdale,For profit - Corporation,222,MITCHELL-HOLLINGSWORTH NURSING & REHAB CENTER,N,4.0,4.0,3.0,3.0,4.0,0,0.0,0,0,"805 FLAGG CIRCLE,FLORENCE,AL,35631",01/03/2023
12,DIVERSICARE OF FOLEY,FOLEY,AL,36535,Baldwin,For profit - Corporation,154,DIVERSICARE OF FOLEY LLC,N,1.0,1.0,4.0,2.0,5.0,1,20650.5,0,1,"1701 NORTH ALSTON STREET,FOLEY,AL,36535",01/03/2023
13,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",NORTHPORT,AL,35473,Tuscaloosa,For profit - Limited Liability company,78,HUNTER CREEK HEALTH AND REHABILITATION LLC,N,3.0,3.0,4.0,4.0,4.0,0,0.0,0,0,"600 34TH ST,NORTHPORT,AL,35473",01/03/2023
14,WEST GATE VILLAGE,BREWTON,AL,36427,Escambia,For profit - Corporation,125,"WEST GATE VILLAGE, LLC",N,4.0,4.0,2.0,2.0,2.0,0,0.0,0,0,"100 PINEVIEW AND THIRD,BREWTON,AL,36427",01/03/2023
15,DIVERSICARE OF MONTGOMERY,MONTGOMERY,AL,36106,Montgomery,For profit - Corporation,138,DIVERSICARE OF MONTGOMERY LLC,N,2.0,1.0,5.0,5.0,5.0,1,650.0,0,1,"2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106",01/03/2023
16,"SUMTER HEALTH AND REHABILITATION, L L C",YORK,AL,36925,Sumter,For profit - Corporation,125,"SUMTER HEALTH AND REHABILITATION, LLC",N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"1505 EAST 4TH AVENUE,YORK,AL,36925",01/03/2023
17,"CAREGIVERS OF PLEASANT GROVE, INC",PLEASANT GROVE,AL,35127,Jefferson,For profit - Corporation,64,CAREGIVERS OF PLEASANT GROVE INC,N,1.0,1.0,1.0,1.0,,5,25330.0,0,5,"700 FIRST AVENUE,PLEASANT GROVE,AL,35127",01/03/2023
18,EAMC LANIER NURSING HOME,VALLEY,AL,36854,Chambers,Non profit - Corporation,103,THE EAST ALABAMA HEALTH CARE AUTHORITY,N,4.0,4.0,3.0,3.0,,1,650.0,0,1,"4800 48TH STREET,VALLEY,AL,36854",01/03/2023
19,"NORTHWAY HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35234,Jefferson,For profit - Corporation,113,"NORTHWAY HEALTH AND REHABILITATION, LLC",N,1.0,2.0,1.0,2.0,1.0,0,0.0,0,0,"1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234",01/03/2023
20,CULLMAN HEALTH CARE CENTER,CULLMAN,AL,35055,Cullman,For profit - Corporation,95,USA HEALTHCARE CULLMAN LLC,N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"1607 MAIN AVE NE,CULLMAN,AL,35055",01/03/2023
21,EASTERN SHORE REHABILITATION AND HEALTH CENTER,DAPHNE,AL,36526,Baldwin,Non profit - Corporation,117,NOLAND EASTERN SHORE LLC,N,4.0,4.0,4.0,5.0,3.0,0,0.0,0,0,"101 VILLA DRIVE,DAPHNE,AL,36526",01/03/2023
22,OAK TRACE CARE & REHABILITATION CENTER,BESSEMER,AL,35020,Jefferson,For profit - Corporation,79,OAK CREST HEALTH & WELLNESS OPCO LLC,Y,3.0,3.0,4.0,4.0,,2,8289.78,0,2,"325 SELMA ROAD,BESSEMER,AL,35020",01/03/2023
23,CLEBURNE COUNTY NURSING HOME,HEFLIN,AL,36264,Cleburne,Government - County,82,"CLEBURNE COUNTY HOSPITAL BOARD, INC",N,5.0,5.0,4.0,3.0,4.0,0,0.0,0,0,"122 BROCKFORD ROAD,HEFLIN,AL,36264",01/03/2023
24,TERRACE OAKS CARE & REHABILITATION CENTER,BESSEMER,AL,35020,Jefferson,For profit - Corporation,69,MAGNOLIA RIDGE REHABILITATION & SENIOR LIVING OPCO LLC,Y,2.0,1.0,5.0,5.0,,4,26582.2,0,4,"4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020",01/03/2023
25,DIVERSICARE OF BOAZ,BOAZ,AL,35957,Marshall,For profit - Corporation,100,DIVERSICARE OF BOAZ LLC,N,4.0,3.0,5.0,4.0,5.0,1,3250.0,0,1,"600 CORLEY AVENUE,BOAZ,AL,35957",01/03/2023
26,"PRATTVILLE HEALTH AND REHABILITATION, LLC",PRATTVILLE,AL,36066,Autauga,For profit - Corporation,162,PRATTVILLE HEALTH AND REHABILITATION LLC,N,1.0,1.0,2.0,1.0,2.0,0,0.0,0,0,"601 JASMINE TRAIL,PRATTVILLE,AL,36066",01/03/2023
27,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",RUSSELLVILLE,AL,35653,Franklin,For profit - Corporation,63,"FRANKLIN LTC, LLC",N,5.0,5.0,3.0,1.0,5.0,0,0.0,0,0,"390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653",01/03/2023
28,COTTAGE OF THE SHOALS,TUSCUMBIA,AL,35674,Colbert,For profit - Corporation,103,SUNBRIDGE HEALTHCARE LLC,N,4.0,4.0,2.0,2.0,1.0,1,3250.0,0,1,"500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674",01/03/2023
29,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,RUSSELLVILLE,AL,35653,Franklin,For profit - Limited Liability company,50,"RUSSELLVILLE HEALTH CARE, LLC",N,3.0,3.0,4.0,4.0,,1,3250.0,0,1,"705 GANDY STREET NE,RUSSELLVILLE,AL,35653",01/03/2023
30,"HANCEVILLE NURSING & REHAB CENTER, INC",HANCEVILLE,AL,35077,Cullman,For profit - Corporation,208,HANCEVILLE NURSING & REHAB CENTER INC.,N,5.0,5.0,4.0,5.0,3.0,0,0.0,0,0,"420 MAIN STREET NE,HANCEVILLE,AL,35077",01/03/2023
31,"SUMMERFORD HEALTH AND REHAB, LLC",FALKVILLE,AL,35622,Morgan,For profit - Corporation,216,SUMMERFORD HEALTH AND REHAB LLC,N,3.0,3.0,3.0,2.0,4.0,0,0.0,0,0,"4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622",01/03/2023
32,FAIR HAVEN,BIRMINGHAM,AL,35210,Jefferson,Non profit - Corporation,259,METHODIST HOME FOR THE AGING,N,2.0,1.0,5.0,4.0,5.0,3,27400.75,1,4,"1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210",01/03/2023
33,"ELBA NURSING AND REHABILITATION CENTER, LLC",ELBA,AL,36323,Coffee,For profit - Corporation,111,ELBA NURSING AND REHABILITATION CENTER LLC,N,2.0,2.0,2.0,3.0,2.0,1,650.0,0,1,"987 DRAYTON STREET,ELBA,AL,36323",01/03/2023
34,PARK PLACE,SELMA,AL,36701,Dallas,For profit - Corporation,103,DIVERSICARE OF SELMA LLC,N,1.0,1.0,4.0,3.0,4.0,1,110974.5,0,1,"100 PARK PLACE,SELMA,AL,36701",01/03/2023
35,EVERGREEN NURSING HOME,EVERGREEN,AL,36401,Conecuh,For profit - Corporation,61,"EVERGREEN NURSING HOME, LLC",N,5.0,4.0,4.0,4.0,3.0,0,0.0,0,0,"100 SANDERS DRIVE,EVERGREEN,AL,36401",01/03/2023
36,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",BIRMINGHAM,AL,35217,Jefferson,For profit - Corporation,190,"NORTH HILL NURSING AND REHABILITATION CENTER, LLC",N,1.0,1.0,2.0,3.0,2.0,1,650.0,0,1,"200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217",01/03/2023
37,"SOUTH HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35205,Jefferson,For profit - Corporation,83,"SOUTH HEALTH AND REHABILITATION, LLC",N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"1220 SOUTH 17TH STREET,BIRMINGHAM,AL,35205",01/03/2023
38,ALLEN HEALTH AND REHABILITATION,MOBILE,AL,36603,Mobile,Non profit - Corporation,119,"NOLAND MANAGEMENT SERVICES, LLC",N,3.0,3.0,3.0,3.0,,0,0.0,0,0,"735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603",01/03/2023
39,CROWNE HEALTH CARE OF MOBILE,MOBILE,AL,36605,Mobile,For profit - Corporation,148,"CROWNE HEALTH CARE OF MOBILE, LLC",N,4.0,4.0,4.0,2.0,5.0,0,0.0,0,0,"954 NAVCO ROAD,MOBILE,AL,36605",01/03/2023
40,ALTOONA  HEALTH & REHAB,ALTOONA,AL,35952,Etowah,For profit - Corporation,50,"ALTOONA HEALTH & REHAB, INC.",N,3.0,2.0,2.0,2.0,,0,0.0,0,0,"6532 WALNUT GROVE ROAD,ALTOONA,AL,35952",01/03/2023
41,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",MOBILE,AL,36607,Mobile,For profit - Corporation,164,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",N,4.0,3.0,2.0,1.0,2.0,0,0.0,0,0,"148 TUSCALOOSA ST,MOBILE,AL,36607",01/03/2023
42,SOUTHLAND NURSING HOME,MARION,AL,36756,Perry,For profit - Corporation,91,"SOUTHLAND NURSING HOME, LLC",N,5.0,4.0,5.0,5.0,,3,4894.1,0,3,"500 SHIVERS TERRACE,MARION,AL,36756",01/03/2023
43,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35234,Jefferson,For profit - Corporation,95,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"1201 22ND STREET NORTH,BIRMINGHAM,AL,35234",01/03/2023
44,DIVERSICARE OF BIG SPRINGS,HUNTSVILLE,AL,35801,Madison,For profit - Corporation,145,DIVERSICARE OF BIG SPRINGS LLC,N,3.0,4.0,4.0,5.0,3.0,0,0.0,0,0,"500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801",01/03/2023
45,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,TUSKEGEE,AL,36083,Macon,For profit - Corporation,111,MAGNOLIA HAVEN NURSING HOME LLC,N,1.0,1.0,4.0,4.0,,3,10942.75,0,3,"603 WRIGHT STREET,TUSKEGEE,AL,36083",01/03/2023
46,RIVER CITY CENTER,DECATUR,AL,35601,Morgan,For profit - Corporation,183,SUNBRIDGE HEALTHCARE LLC,N,1.0,1.0,3.0,1.0,4.0,2,28869.1,0,2,"1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601",01/03/2023
47,SHADESCREST HEALTH CARE CENTER,JASPER,AL,35502,Walker,For profit - Corporation,107,SHADESCREST HEALTH CARE CENTER,N,4.0,4.0,3.0,4.0,3.0,2,10400.0,0,2,"331 WEST 25TH STREET,JASPER,AL,35502",01/03/2023
48,"CORDOVA HEALTH AND REHABILITATION, LLC",CORDOVA,AL,35550,Walker,For profit - Corporation,114,CORDOVA HEALTH AND REHABILITATION LLC,N,3.0,3.0,4.0,5.0,3.0,0,0.0,0,0,"70 HIGHLAND STREET WEST,CORDOVA,AL,35550",01/03/2023
49,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,HUNTSVILLE,AL,35801,Madison,For profit - Limited Liability company,159,"LP HUNTSVILLE, LLC",N,4.0,3.0,5.0,4.0,5.0,1,10804.55,0,1,"105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801",01/03/2023
50,"OAK KNOLL HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35204,Jefferson,For profit - Corporation,100,OAK KNOLL HEALTH AND REHABILITATION LLC,N,2.0,2.0,4.0,4.0,,0,0.0,0,0,"824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204",01/03/2023
51,"SELMA HEALTH AND REHAB, LLC",SELMA,AL,36701,Dallas,For profit - Individual,172,SELMA HEALTH AND REHAB LLC,N,1.0,1.0,1.0,1.0,2.0,14,69719.34,0,14,"11 BELL ROAD,SELMA,AL,36701",01/03/2023
52,"NHC HEALTHCARE, ANNISTON",ANNISTON,AL,36207,Calhoun,For profit - Corporation,151,NHC HEALTHCARE-ANNISTON LLC,N,3.0,3.0,2.0,1.0,4.0,2,19729.98,0,2,"2300 COLEMAN RD,ANNISTON,AL,36207",01/03/2023
53,CROWNE HEALTH CARE OF CITRONELLE,CITRONELLE,AL,36522,Mobile,For profit - Corporation,69,CROWNE HEALTH CARE OF CITRONELLE LLC,N,5.0,5.0,5.0,5.0,4.0,0,0.0,0,0,"19225 NORTH 4TH STREET,CITRONELLE,AL,36522",01/03/2023
54,WASHINGTON COUNTY NURSING HOME,CHATOM,AL,36518,Washington,Government - County,88,"WASHINGTON COUNTY HEALTHCARE AUTHORITY, INC",N,5.0,5.0,5.0,5.0,,1,657.8,0,1,"14600 ST STEPHENS AVENUE,CHATOM,AL,36518",01/03/2023
55,CLAY COUNTY NURSING HOME,ASHLAND,AL,36251,Clay,Non profit - Other,83,CLAY COUNTY HEALTHCARE AUTHORITY,N,5.0,4.0,4.0,4.0,,2,5657.8,0,2,"83825 HIGHWAY 9,ASHLAND,AL,36251",01/03/2023
56,TRAYLOR RETIREMENT COMMUNITY,ROANOKE,AL,36274,Randolph,For profit - Corporation,123,"RANDOLPH MANAGEMENT COMPANY, INC.",N,2.0,2.0,4.0,4.0,4.0,0,0.0,0,0,"1235 YANCEY STREET,ROANOKE,AL,36274",01/03/2023
57,BROOKSHIRE HEALTHCARE CENTER,HUNTSVILLE,AL,35805,Madison,For profit - Corporation,129,DIVERSICARE LEASING LP,N,3.0,4.0,4.0,5.0,4.0,1,3315.36,0,1,"4320 JUDITH LANE,HUNTSVILLE,AL,35805",01/03/2023
