Location Name,Care homes beds,Location Postal Code,Care Services
Henley House,66,IP1 6TB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Charlotte House,103,CH63 3DZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Regency Care Centre,60,M45 7SG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Kingswood House Nursing Home,22,TN37 6HR,Nursing Or Personal Care; Nursing Home; Mental Health; Young Adults
Little Haven,15,SE6 1HP,Nursing Or Personal Care; Residential Home; Mental Health
Rowan House,9,YO12 7QZ,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Mental Health
Tresillian Residential Home,7,PL24 2AJ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Highlands Borders Care Home,28,EX1 2QE,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Physical Disability; Young Adults
Suffolk House,2,AL2 1DZ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Respite Breaks - Epwell rd.,2,B44 8DD,Nursing Or Personal Care; Residential Home; LD & Autism; Sensory Impairment; Young Adults
Riverwell Beck Care Home,60,CA2 4SE,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Bromham House,4,MK43 8PT,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Baldock - 15 Clothall Road,4,SG7 6PB,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Baldock - The Rowans,5,SG7 6HJ,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Meadow Rose Nursing Home,56,B31 2TX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
The Spinney Nursing Home,35,WN8 0PY,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Woodview Care Home,60,ST5 8RQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment
Thornbury Villa,14,PL3 4NE,Nursing Or Personal Care; Residential Home; Older People
Aston House,16,HR1 1TJ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Standon House,31,B79 8AG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Connaught House,86,B90 4LA,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Physical Disability; Sensory Impairment
The Rock Care Home,14,TQ11 0BU,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Homelands,20,PO21 2YE,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Ashdale Care Home,22,NG18 2AT,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Lady of the Vale Care Home,39,WA14 3HA,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Cedar Court Residential and Nursing Home,68,SR7 8BT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ramsey Step Down and Care Centre,37,CO12 5EP,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Options Hazel House,4,NG31 8DH,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Rise Care Home,36,EX7 0QL,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
